Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,day_average
2020,10,18,5243.098916,5100.444473,4972.582936,4882.360138,4839.088617,4902.321831,4896.554766,4824.695881,4881.027018,4958.934627,5096.789664,5238.982827,5352.543942,5454.290362,5527.401424,5481.564508,5351.454912,5241.571382,5143.877796,5057.590053,5040.156742,5041.684639,5032.309890,5036.890805,5048.819185,5095.989947,5145.895645,5212.151784,5303.478675,5376.991802,5507.811934,5698.389614,5927.969626,6139.766727,6274.198279,6310.991992,6415.309517,6552.951257,6456.852087,6377.241261,6298.362604,6153.259966,6030.501739,5907.507297,5779.588425,5721.721527,5569.086708,5387.018666,5464.376550
2020,10,19,5200.873615,5081.888381,4957.272623,4854.508109,4879.813015,5006.620077,4993.376875,5040.093835,4919.050673,4812.272812,4838.379742,4850.206958,4826.409742,4825.793952,4838.552024,4855.149405,4874.789952,4899.351882,4875.146546,4799.277191,4805.966526,4841.658483,4789.069173,4744.254330,4729.837932,4634.707149,4673.971008,4734.358587,4750.820040,4867.260337,5040.910606,5246.582250,5485.641381,5701.268859,5884.055787,5999.456942,6137.556760,6252.767629,6184.814032,6107.365217,6042.670186,5901.225342,5800.684995,5727.782834,5667.545421,5623.503792,5487.340874,5324.777987,5196.180872
2020,10,20,5149.688661,5015.073414,4892.132691,4855.816190,4970.565116,5007.104722,5030.765454,5014.548025,5025.764296,5043.087634,5025.523417,4940.366149,4660.932792,4530.714983,4475.269688,4436.269776,4421.137263,4389.540312,4436.779056,4375.545374,4582.526497,4473.936527,4438.830171,4463.606885,4483.208790,4474.781249,4537.173732,4690.985838,4573.830861,4719.538154,4917.406878,5127.889928,5360.867430,5627.724918,5840.354268,6004.575443,6196.160715,6372.845261,6276.548511,6170.849962,6072.968575,5948.141296,5815.750137,5705.293612,5605.987702,5549.391349,5410.525409,5241.927809,5091.255269
2020,10,21,5082.258650,4951.783667,4899.291856,4884.497093,5015.288814,5024.334191,5012.608580,5028.396456,5007.024351,4852.053677,4967.426745,5094.808043,5230.705176,5329.730178,5381.671315,5338.674054,5221.073128,5149.826147,5117.906184,5098.232596,5061.621809,5028.239838,4990.852132,5023.946710,5047.818395,5108.045417,5194.898294,5320.209414,5443.438900,5587.667873,5761.180910,5914.780577,6113.054149,6334.578589,6484.633312,6568.290478,6695.576541,6800.767173,6689.249051,6577.953024,6483.320030,6301.531269,6134.337503,5977.556961,5814.924364,5714.546955,5555.047072,5379.504696,5516.565882
2020,10,22,5189.843495,5058.341169,4943.830470,4863.421869,4812.206466,4856.194245,4858.102271,4870.825074,4922.083904,4933.710860,5061.169217,5203.414615,5346.095142,5466.425046,5514.529022,5425.989575,5269.058017,5137.204388,5050.669126,4978.137560,4919.118148,4905.264271,4890.243624,4894.742763,4929.164260,4972.318628,5072.636841,5170.679831,5285.433509,5394.532287,5565.482558,5791.239326,6037.710635,6252.635631,6422.212651,6498.388047,6628.343242,6783.974586,6678.165186,6598.075219,6512.530295,6317.472242,6160.305479,5996.124321,5861.409221,5754.812422,5584.889392,5395.878982,5479.896565
2020,10,23,5201.230305,5066.334451,4944.766428,4863.548353,4889.983564,4972.445406,4974.011423,4954.948796,4857.074991,4932.048225,5034.117197,5170.665221,5303.553956,5422.950518,5459.121300,5383.196448,5249.570273,5135.078183,5052.332154,4988.660097,4926.857541,4915.226042,4899.418587,4923.844683,4953.495655,5025.657692,5143.347387,5265.319621,5413.630672,5554.476623,5729.153394,5959.654575,6209.629167,6427.944755,6567.305405,6639.547302,6731.562307,6878.521281,6777.629249,6688.710472,6589.577413,6401.720118,6232.082969,6076.050901,5917.861275,5813.476098,5631.077868,5452.605650,5533.354625
2020,10,24,5263.756746,5122.950176,5011.981814,4928.824628,4882.526068,4846.327140,4900.512461,4838.827876,4893.797767,4962.773217,5075.516811,5211.889979,5340.014228,5472.455998,5523.781234,5465.131911,5332.940429,5236.545851,5187.569844,5142.220171,5145.635788,5167.086156,5182.167880,5198.846154,5235.143860,5253.753312,5326.769657,5446.786488,5624.404296,5790.038539,5987.281286,6208.094728,6443.050773,6594.651128,6691.487283,6762.917300,6841.492405,6929.195304,6866.655532,6762.789327,6665.024858,6475.349136,6288.024933,6111.835604,5952.153728,5849.808356,5669.041119,5465.817395,5636.992639
2020,10,25,5294.944191,5149.126926,5027.807826,4938.739557,4893.509519,4878.997949,4888.588291,4884.947503,4927.500606,4988.250043,5098.150191,5234.784250,5375.965354,5508.963751,5547.802893,5495.359870,5361.327041,5249.610001,5165.035968,5088.292673,5027.927352,5021.104165,5020.306596,5074.668960,5119.295023,5184.329962,5285.988137,5415.069180,5572.157182,5715.083476,5887.283151,6118.044962,6373.827433,6564.438497,6628.198125,6601.783940,6643.173181,6762.276680,6680.290842,6584.188264,6473.726957,6302.069665,6162.694111,6026.095343,5907.396507,5835.530197,5665.752696,5469.587738,5585.833182
2020,10,26,5297.507989,5145.178245,5026.074135,4937.965753,4885.573760,4857.917687,4849.356031,4838.879300,4851.856475,4867.378713,4865.760713,4873.019566,4827.058181,4812.011591,4811.811758,4804.921537,4795.830564,4804.292615,4768.463354,4675.131523,4641.125759,4728.235411,4710.438991,4759.269710,4698.590391,4719.639384,4813.336865,4921.613085,5089.333577,5247.519461,5454.639037,5639.865137,5827.795321,6008.126306,6165.356881,6230.234907,6329.802198,6435.150962,6343.206449,6264.532568,6172.656048,6022.118382,5926.894933,5842.763594,5762.839603,5727.073195,5573.814381,5399.867864,5271.913123
2020,10,27,5228.642123,5083.419869,4980.318452,4890.881850,4836.155015,4971.036792,5008.250557,5055.298565,5010.099341,5014.921714,4929.392428,4911.548225,4684.061375,4692.183203,4709.335279,4703.730044,4728.114462,4727.941346,4706.185732,4786.973076,4689.872305,4607.045658,4610.435307,4641.972705,4700.912480,4787.042499,4882.211827,4958.259320,5070.684616,5253.893045,5467.968216,5675.697651,5913.540931,6128.339820,6296.765938,6400.392408,6540.379851,6647.485987,6543.638827,6442.270155,6341.602437,6167.242289,6024.874527,5869.277416,5759.517879,5689.383927,5541.917710,5353.557950,5305.514024
